transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0190065,2025-01-01,420.23,420.23,GBP,Online Casino,Online Purchase,Online Purchase - Online Casino,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0190012,2025-01-06,120.13,120.13,GBP,Trainline,Bank Transfer,Trainline - Bank Transfer,Transport,Completed,False,,
TXN0190052,2025-01-07,7.13,7.13,GBP,Thames Water,Purchase,Thames Water - Purchase,Utilities,Completed,False,,
TXN0190070,2025-01-13,174.13,174.13,GBP,Booking.com,Standing Order,Booking.com,Travel,Completed,False,,
TXN0190064,2025-01-13,9.02,9.02,GBP,Apple Store,Card Payment,Card Payment - Apple Store,Electronics,Completed,False,,
TXN0190060,2025-01-13,897.56,897.56,GBP,Octopus Energy,Direct Debit,Octopus Energy - Direct Debit,Utilities,Completed,False,FW15,
TXN0190056,2025-01-13,202.79,202.79,GBP,EDF Energy,Mobile Payment,Mobile Payment - EDF Energy,Utilities,Completed,False,,
TXN0190009,2025-01-17,832.64,832.64,GBP,Samsung Store,ATM Withdrawal,ATM Withdrawal - Samsung Store,Electronics,Pending,False,FW15,
TXN0190089,2025-01-20,55.78,55.78,GBP,Octopus Energy,Contactless,Payment to Octopus Energy,Utilities,Completed,False,,
TXN0190085,2025-01-22,1716.47,1716.47,GBP,Azimo,Online Purchase,Azimo,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0190049,2025-01-23,38.56,38.56,GBP,Costa Coffee,Online Purchase,Payment to Costa Coffee,Food & Drink,Completed,False,,
TXN0190062,2025-01-23,216.08,216.08,GBP,Costa Coffee,Standing Order,Costa Coffee,Food & Drink,Completed,False,,
TXN0190099,2025-01-26,143.72,143.72,GBP,Samsung Store,Bank Transfer,Samsung Store - Bank Transfer,Electronics,Completed,False,,
TXN0190031,2025-01-27,111.04,111.04,GBP,Airbnb,Direct Debit,Airbnb - Direct Debit,Travel,Completed,False,,
TXN0190063,2025-01-28,205.58,205.58,GBP,Cash Withdrawal ATM,Contactless,Cash Withdrawal ATM,Unknown,Completed,False,FW25,Missing audit trail
TXN0190017,2025-01-29,-787.49,-787.49,GBP,Bulgari,Direct Debit,Bulgari,Luxury,Completed,False,FW20_Luxury,Luxury purchase
TXN0190036,2025-02-04,35.72,35.72,GBP,Morrisons,Online Purchase,Morrisons - Online Purchase,Groceries,Completed,False,,
TXN0190010,2025-02-06,224.33,224.33,GBP,Samsung Store,Online Purchase,Samsung Store,Electronics,Completed,False,,
TXN0190048,2025-02-07,173.21,173.21,GBP,Sky Bet,Direct Debit,Direct Debit - Sky Bet,Gambling,Completed,False,FW45,Gambling transaction
TXN0190081,2025-02-13,94.4,94.4,GBP,Waitrose,Standing Order,Payment to Waitrose,Groceries,Pending,False,,
TXN0190077,2025-02-14,35.22,35.22,GBP,Argos,Bank Transfer,Argos,Electronics,Completed,False,,
TXN0190027,2025-02-15,1331.98,1331.98,GBP,WorldRemit,ATM Withdrawal,Payment to WorldRemit,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0190069,2025-02-23,101.48,101.48,GBP,Netflix,Refund,Netflix - Refund,Entertainment,Completed,False,,
TXN0190026,2025-02-23,950.96,950.96,GBP,Unspecified Merchant,ATM Withdrawal,Payment to Unspecified Merchant,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0190008,2025-02-25,82.83,82.83,GBP,Pret A Manger,Standing Order,Pret A Manger - Standing Order,Food & Drink,Completed,False,,
TXN0190002,2025-02-27,121.68,121.68,GBP,Booking.com,Refund,Booking.com - Refund,Travel,Completed,False,,
TXN0190094,2025-04-01,-162.59,-162.59,GBP,Apple Store,Mobile Payment,Apple Store,Electronics,Completed,False,,
TXN0190038,2025-04-02,489.86,489.86,GBP,Revolut Transfer,Direct Debit,Direct Debit - Revolut Transfer,Money Transfer,Completed,False,FW20_Transfer|FW15,
TXN0190011,2025-04-03,-90.34,-90.34,GBP,Hotels.com,Contactless,Hotels.com,Travel,Completed,False,,
TXN0190061,2025-04-04,375.56,375.56,GBP,Premier Inn,Online Purchase,Payment to Premier Inn,Travel,Completed,False,FW15,
TXN0190022,2025-04-05,-2526.41,-2526.41,GBP,Cartier,Purchase,Purchase - Cartier,Luxury,Completed,False,FW20_Luxury,Luxury purchase
TXN0190066,2025-04-05,2055.9,2055.9,GBP,Gucci London,Mobile Payment,Gucci London - Mobile Payment,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0190019,2025-04-07,491.92,491.92,GBP,Betfair,Purchase,Betfair - Purchase,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0190004,2025-04-08,15.42,15.42,GBP,Esso,Purchase,Esso,Transport,Completed,False,,
